AlH.1Sigma+.STO6G.pqg
 iter      mu     pobj     dobj     gap  gaporg pinforg dinforg       F    tau1    tau2   CGres  CGit 
   38 3.4e+00  2.5e+02  2.5e+02 2.7e-05 3.1e-04 7.4e-06 2.2e-04 2.8e-04 2.4e-04 1.2e-01 3.1e-06    20 
   39 3.4e+00  2.5e+02  2.5e+02 2.4e-05 2.8e-04 3.3e-06 2.0e-04 2.1e-04 2.1e-04 1.1e-01 2.7e-06    20 
 iter      mu     pobj     dobj     gap  gaporg pinforg dinforg       F    tau1    tau2   CGres  CGit 
   40 3.4e+00  2.5e+02  2.5e+02 2.0e-05 2.4e-04 3.7e-05 1.8e-04 2.8e-04 3.2e-05 9.3e-02 1.8e-06    25 
   41 5.1e+00  2.5e+02  2.5e+02 1.8e-05 2.2e-04 9.5e-05 1.6e-04 3.8e-04 2.5e-04 8.0e-02 2.7e-06    19 
   42 5.1e+00  2.5e+02  2.5e+02 2.1e-05 2.5e-04 2.5e-05 1.4e-04 1.7e-04 5.0e-04 6.9e-02 3.6e-06    28 
   43 5.1e+00  2.5e+02  2.5e+02 1.9e-05 2.2e-04 7.1e-06 1.2e-04 1.4e-04 6.0e-05 5.9e-02 1.6e-06    30 
   44 5.1e+00  2.5e+02  2.5e+02 1.7e-05 2.0e-04 1.4e-05 1.1e-04 1.6e-04 3.2e-05 5.1e-02 1.4e-06    30 
   45 5.1e+00  2.5e+02  2.5e+02 1.5e-05 1.8e-04 1.0e-05 1.0e-04 1.3e-04 7.1e-05 4.4e-02 1.5e-06    28 
   46 5.1e+00  2.5e+02  2.5e+02 1.4e-05 1.6e-04 1.1e-05 9.4e-05 1.2e-04 4.4e-05 3.8e-02 1.3e-06    31 
   47 5.1e+00  2.5e+02  2.5e+02 1.3e-05 1.5e-04 1.0e-05 8.5e-05 1.1e-04 3.9e-05 3.3e-02 1.2e-06    32 
   48 5.1e+00  2.5e+02  2.5e+02 1.1e-05 1.3e-04 2.8e-05 7.8e-05 1.6e-04 3.5e-05 2.9e-02 1.1e-06    35 
   49 5.1e+00  2.5e+02  2.5e+02 8.8e-06 1.0e-04 2.9e-05 7.1e-05 1.3e-04 9.2e-05 2.5e-02 1.5e-06    29 
   50 5.1e+00  2.5e+02  2.5e+02 8.6e-06 1.0e-04 5.5e-06 6.6e-05 7.7e-05 5.8e-05 2.2e-02 1.2e-06    38 
   51 7.6e+00  2.5e+02  2.5e+02 8.3e-06 9.8e-05 2.2e-06 6.4e-05 8.3e-05 8.9e-06 4.9e-02 6.9e-07    24 
   52 7.6e+00  2.5e+02  2.5e+02 7.4e-06 8.7e-05 3.7e-05 5.9e-05 1.6e-04 6.5e-06 2.0e-02 7.8e-07    46 
   53 7.6e+00  2.5e+02  2.5e+02 5.5e-06 6.5e-05 3.5e-04 4.6e-05 7.3e-04 1.5e-05 2.9e-03 1.7e-05    51 
   54 7.6e+00  2.5e+02  2.5e+02 4.6e-06 5.4e-05 1.7e-04 3.7e-05 3.8e-04 8.7e-05 2.4e-03 7.2e-06    73 
   55 7.6e+00  2.5e+02  2.5e+02 2.2e-06 2.5e-05 2.3e-04 2.9e-05 5.5e-04 4.0e-05 1.9e-03 3.7e-06   113 
   56 7.6e+00  2.5e+02  2.5e+02 3.5e-06 4.1e-05 1.3e-04 2.4e-05 2.4e-04 5.4e-05 1.6e-03 5.3e-06    76 
   57 7.6e+00  2.5e+02  2.5e+02 3.0e-05 3.5e-04 7.5e-04 2.0e-05 1.3e-03 2.0e-05 1.3e-03 2.4e-06   129 
   58 7.6e+00  2.5e+02  2.5e+02 4.2e-05 5.0e-04 8.1e-04 1.6e-05 1.2e-03 1.0e-04 1.1e-03 1.2e-05    53 
   59 7.6e+00  2.5e+02  2.5e+02 3.5e-05 4.0e-04 5.5e-04 1.3e-05 8.6e-04 9.0e-05 9.1e-04 1.2e-05    67 
 iter      mu     pobj     dobj     gap  gaporg pinforg dinforg       F    tau1    tau2   CGres  CGit 
   60 7.6e+00  2.5e+02  2.5e+02 1.7e-06 2.0e-05 3.4e-04 1.1e-05 6.2e-04 5.8e-05 7.6e-04 8.6e-06    84 
   61 1.1e+01  2.5e+02  2.5e+02 1.7e-05 2.0e-04 2.8e-04 1.1e-05 5.1e-04 3.7e-05 6.4e-04 6.0e-06    83 
   62 1.1e+01  2.5e+02  2.5e+02 7.0e-06 8.2e-05 4.1e-04 8.0e-06 7.2e-04 2.7e-05 5.6e-04 5.1e-06   116 
   63 1.1e+01  2.5e+02  2.5e+02 2.6e-07 3.0e-06 6.1e-04 6.9e-06 9.6e-04 3.5e-05 4.5e-04 7.1e-06    87 
   64 1.1e+01  2.5e+02  2.5e+02 2.5e-05 2.9e-04 5.5e-04 5.9e-06 8.9e-04 4.2e-05 3.8e-04 9.6e-06    83 
   65 1.1e+01  2.5e+02  2.5e+02 1.3e-05 1.5e-04 5.7e-04 5.5e-06 1.0e-03 3.5e-05 3.2e-04 8.8e-06    99 
   66 1.1e+01  2.5e+02  2.5e+02 2.7e-06 3.1e-05 1.0e-03 4.4e-06 1.8e-03 3.7e-05 2.8e-04 1.0e-05    87 
   67 1.1e+01  2.5e+02  2.5e+02 1.4e-05 1.6e-04 4.3e-04 4.6e-06 6.9e-04 5.9e-05 2.3e-04 1.8e-05    58 
   68 1.1e+01  2.5e+02  2.5e+02 1.6e-05 1.9e-04 7.7e-04 3.3e-06 1.4e-03 2.0e-05 2.1e-04 6.8e-06   133 
   69 1.1e+01  2.5e+02  2.5e+02 1.3e-06 1.5e-05 9.0e-04 2.8e-06 1.5e-03 3.5e-05 1.7e-04 1.3e-05    65 
   70 1.1e+01  2.5e+02  2.5e+02 1.5e-06 1.7e-05 6.7e-04 1.8e-06 1.2e-03 3.6e-05 1.4e-04 1.5e-05    70 
   71 7.6e+00  2.5e+02  2.5e+02 8.4e-07 9.9e-06 5.4e-04 2.5e-06 9.0e-04 2.5e-05 1.1e-04 1.2e-05   112 
   72 7.6e+00  2.5e+02  2.5e+02 1.2e-06 1.4e-05 8.5e-05 1.4e-06 1.6e-04 1.7e-05 1.1e-04 8.9e-06    98 
   73 7.6e+00  2.5e+02  2.5e+02 1.1e-06 1.3e-05 2.5e-04 1.2e-06 4.5e-04 2.8e-06 7.9e-05 3.2e-06   301 
   74 7.6e+00  2.5e+02  2.5e+02 1.8e-07 2.1e-06 9.6e-05 1.1e-06 1.8e-04 3.9e-05 3.7e-04 4.5e-06    31 
   75 7.6e+00  2.5e+02  2.5e+02 1.7e-07 1.9e-06 6.4e-05 1.0e-06 1.2e-04 1.4e-05 3.2e-04 3.5e-06    51 
   76 7.6e+00  2.5e+02  2.5e+02 1.0e-07 1.2e-06 1.7e-06 9.7e-07 4.1e-06 8.0e-06 2.8e-04 1.2e-06   179 
   77 7.6e+00  2.5e+02  2.5e+02 1.8e-07 2.1e-06 1.2e-07 9.6e-07 1.2e-06 2.0e-07 9.9e-04 4.1e-08   205 

-------------------------------------------------------------------------------------------------
          pboj           dobj        gap       pinf       dinf         C1         K1       K1dual
2.45684588e+02 2.45685109e+02   1.06e-06   1.21e-07   9.60e-07   2.71e-14   4.86e-16   6.21e-14

-------------------------------------------------------------------------------------------------
